ticker,corp_name,corp_code,listed_company
004800,효성,00117188,1
004830,덕성,00114093,1
004840,DRB동일,00118266,1
004870,티웨이홀딩스,00109514,1
004890,동일산업,00172936,1
004910,조광페인트,00148920,1
004920,씨아이테크,00127158,1
004960,한신공영,00162063,1
004970,신라교역,00135962,1
004980,성신양회,00132804,1
004990,롯데지주,00120562,1
005010,휴스틸,00156488,1
005030,부산주공,00124151,1
005070,코스모신소재,00129989,1
005090,SGC에너지,00125150,1
005110,한창,00163716,1
005160,동국산업,00172680,1
005180,빙그레,00124726,1
005250,녹십자홀딩스,00108135,1
005290,동진쎄미켐,00118804,1
005300,롯데칠성음료,00120571,1
005320,온타이드,00168331,1
005360,모나미,00121288,1
005380,현대자동차,00164742,1
005390,신성통상,00136341,1
005420,코스모화학,00160302,1
005430,한국공항,00156691,1
005440,현대지에프홀딩스,00105280,1
005490,POSCO홀딩스,00155319,1
005500,삼진제약,00128412,1
005610,SPC삼립,00125530,1
005670,푸드웰,00165103,1
005680,삼영전자공업,00127200,1
005690,파미셀,00145163,1
005710,대원산업,00111874,1
005720,넥센,00167192,1
005740,크라운해태홀딩스,00153126,1
005750,대림바스,00109754,1
005800,신영와코루,00136624,1
005810,풍산홀딩스,00155531,1
005820,원림,00143794,1
005830,DB손해보험,00159102,1
005850,에스엘,00125521,1
005860,한일사료,00162911,1
005870,휴니드테크놀러지스,00111421,1
005880,대한해운,00113535,1
005930,삼성전자,00126380,1
005940,NH투자증권,00120182,1
005950,이수화학,00145552,1
005960,동부건설,00115612,1
005990,매일홀딩스,00120924,1
006040,동원산업,00118026,1
006050,국영지앤엠,00104537,1
006060,화승인더스트리,00166227,1
006090,사조오양,00141875,1
006110,삼아알미늄,00126779,1
006120,SK디스커버리,00131832,1
006140,피제이전자,00155735,1
006200,한국전자홀딩스,00159254,1
006220,제주은행,00148832,1
006260,LS,00105952,1
006280,녹십자,00129679,1
006340,대원전선,00260392,1
006360,GS건설,00120030,1
006370,대구백화점,00108977,1
006380,카프로,00159810,1
006390,한일현대시멘트,00164672,1
006400,삼성SDI,00126362,1
006490,인스코비,00122825,1
006570,대림통상,00109824,1
006620,동구바이오제약,00114686,1
006650,대한유화,00260383,1
006660,삼성공조,00126201,1
006730,서부T&D,00130383,1
006740,영풍제지,00141404,1
006800,미래에셋증권,00111722,1
006840,AK홀딩스,00125080,1
006880,신송홀딩스,00136402,1
006890,태경케미컬,00109161,1
006910,보성파워텍,00267881,1
006920,모헨즈,00163318,1
006980,우성,00142661,1
007070,GS리테일,00140177,1
007110,일신석재,00146296,1
007120,미래아이앤지,00104786,1
007160,사조산업,00124799,1
007210,벽산,00122898,1
007280,한국특강,00124090,1
007310,오뚜기,00141529,1
007330,푸른저축은행,00124805,1
007340,DN오토모티브,00116949,1
007370,진양제약,00150536,1
007390,네이처셀,00117276,1
007460,에이프로젠,00152385,1
007530,와이엠,00140858,1
007540,샘표,00130091,1
007570,일양약품,00146454,1
007590,동방아그로,00115384,1
007610,선도전기,00131939,1
007660,이수페타시스,00107613,1
007680,대원,00111838,1
007690,국도화학,00104388,1
007700,F&F 홀딩스,00126487,1
007720,소노스퀘어,00104810,1
007770,한일화학,00267979,1
007810,코리아써키트,00152686,1
007820,에스엠코어,00137915,1
007860,서연,00163114,1
007980,TP,00154329,1
008040,사조동아원,00137252,1
008060,대덕,00109189,1
008110,대동전자,00157104,1
008250,이건산업,00145446,1
008260,NI스틸,00116301,1
008290,원풍물산,00144021,1
008350,남선알미늄,00107224,1
008370,원풍,00144012,1
008420,문배철강,00121570,1
008470,부스타,00124276,1
008490,서흥,00131692,1
008500,일정실업,00146542,1
008600,윌비스,00104999,1
008700,아남전자,00138516,1
008730,율촌화학,00145260,1
008770,호텔신라,00165680,1
008830,대동기어,00109310,1
008870,금비,00168401,1
008930,한미사이언스,00161426,1
008970,동양철관,00117629,1
009070,케이씨티시,00103042,1
009140,경인전자,00102140,1
009150,삼성전기,00126371,1
009160,SIMPAC,00138260,1
009180,한솔로지스틱스,00140946,1
009190,대양금속,00111111,1
009200,무림페이퍼,00136086,1
009240,한샘,00161693,1
009270,신원,00136864,1
009290,광동제약,00103592,1
009300,삼아제약,00126788,1
009310,참엔지니어링,00153621,1
009320,아진전자부품,00111689,1
009410,태영건설,00153861,1
009420,한올바이오파마,00162586,1
009440,KC그린홀딩스,00159971,1
009450,경동나비엔,00101488,1
009460,한창제지,00163761,1
009470,삼화전기,00129271,1
009520,포스코엠텍,00128111,1
009540,HD한국조선해양,00164830,1
009580,무림P&P,00119007,1
009620,삼보산업,00125822,1
009680,모토닉,00151128,1
009730,이렘,00116426,1
009770,삼정펄프,00128227,1
009780,엠에스씨,00121154,1
009810,플레이그램,00103130,1
009830,한화솔루션,00162461,1
009900,명신산업,00173078,1
009970,영원무역홀딩스,00140964,1
010040,한국내화,00160205,1
010060,OCI홀딩스,00148896,1
010100,한국무브넥스,00160418,1
010120,엘에스일렉트릭,00105855,1
010130,고려아연,00102858,1
010140,삼성중공업,00126478,1
010170,대한광통신,00113261,1
010240,흥국,00167031,1
010280,아이티센엔텍,00138303,1
010400,우진아이엔에스,00143262,1
010420,한솔피엔에스,00103626,1
010470,오리콤,00141671,1
010580,에스엠벡셀,00147860,1
010600,웰바이오텍,00141273,1
010620,HD현대미포,00164609,1
010640,진양폴리우레탄,00160375,1
010660,화천기계,00166500,1
010690,화신,00166315,1
010770,평화홀딩스,00155124,1
010780,아이에스동서,00115977,1
010820,퍼스텍,00148522,1
010950,S-Oil,00138279,1
010960,삼호개발,00128980,1
011000,진원생명과학,00118521,1
011040,경동제약,00101549,1
011070,LG이노텍,00105961,1
011080,형지I&C,00142713,1
011090,에넥스,00139764,1
011150,CJ씨푸드,00129013,1
011170,롯데케미칼,00165413,1
011200,HMM,00164645,1
011210,현대위아,00106623,1
011230,삼화전자공업,00129280,1
011280,태림포장,00153524,1
011300,성안머티리얼스,00132868,1
011320,유니크,00147152,1
011330,유니켐,00137207,1
011370,서한,00131504,1
011390,부산산업,00124027,1
011420,갤럭시아에스엠,00129554,1
011500,한농화성,00160861,1
011560,세보엠이씨,00133876,1
011690,와이투솔루션,00144720,1
011700,한신기계공업,00162072,1
011760,현대코퍼레이션,00164812,1
011780,금호석유화학,00106368,1
011790,SKC,00139889,1
011810,STX,00138297,1
011930,신성이엔지,00136271,1
012030,DB,00163345,1
012160,영흥,00141477,1
012170,아센디오,00145437,1
012200,계양전기,00102618,1
012210,삼미금속,00125664,1
012280,영화금속,00141413,1
012320,경동인베스트,00143527,1
012330,현대모비스,00164788,1
012340,뉴인텍,00105040,1
012450,한화에어로스페이스,00126566,1
012510,더존비즈온,00172291,1
012610,경인양행,00102113,1
012620,원일특강,00143907,1
012630,HDC,00164636,1
012690,모나리자,00173102,1
012700,리드코프,00117708,1
012750,에스원,00158501,1
012790,신일제약,00137058,1
012800,대창,00112651,1
012860,모베이스전자,00137234,1
013000,세우글로벌,00134176,1
013030,하이록코리아,00165060,1
013120,동원개발,00117966,1
013310,아진산업,00139083,1
013360,일성건설,00146232,1
013520,화승코퍼레이션,00166272,1
013570,디와이,00117179,1
013580,계룡건설산업,00102432,1
013700,까뮤이앤씨,00129420,1
013720,CBI,00151605,1
013810,스페코,00136165,1
013870,지엠비코리아,00156354,1
013890,지누스,00150633,1
013990,아가방컴퍼니,00138446,1
014100,메디앙스,00267854,1
014130,한익스프레스,00129509,1
014160,대영포장,00111458,1
014190,원익큐브,00128175,1
014200,광림,00103635,1
014280,금강공업,00105299,1
014440,영보화학,00140779,1
014470,부방,00243067,1
014530,극동유화,00105156,1
014570,고려제약,00103015,1
014580,태경비케이,00122481,1
014620,성광벤드,00132318,1
014680,한솔케미칼,00140955,1
014710,사조씨푸드,00124780,1
014790,HL D&I,00161116,1
014820,동원시스템즈,00132637,1
014830,유니드,00159786,1
014910,성문전자,00132628,1
014940,오리엔탈정공,00141608,1
014970,삼륭물산,00125488,1
014990,인디에프,00106881,1
015020,이스타코,00134565,1
015230,대창단조,00112679,1
015260,에이엔피,00143314,1
015360,INVENI,00105101,1
015590,DKME,00108746,1
015710,코콤,00187725,1
015750,성우하이텍,00132992,1
015760,한국전력공사,00159193,1
015860,일진홀딩스,00146649,1
015890,태경산업,00153339,1
016090,대현,00113614,1
016100,리더스코스메틱,00180263,1
016250,SGC E&C,00141246,1
016360,삼성증권,00104856,1
016380,KG스틸,00115676,1
016450,한세예스24홀딩스,00161976,1
016580,환인제약,00166573,1
016590,신대양제지,00135777,1
016600,큐캐피탈,00267942,1
016610,DB증권,00115694,1
016670,디모아,00125725,1
016710,대성홀딩스,00108940,1
016740,두올,00119672,1
016790,현대사료,00164618,1
016800,퍼시스,00161709,1
016880,웅진,00143651,1
016920,카스,00152260,1
017000,신원종합개발,00136925,1
017040,광명전기,00103662,1
017180,명문제약,00121039,1
017250,인터엠,00145914,1
017370,우신시스템,00142883,1
017390,서울도시가스,00130684,1
017480,삼현철강,00128926,1
017510,세명전기,00133751,1
017550,수산세보틱스,00135111,1
017650,대림제지,00109781,1
017670,SK텔레콤,00159023,1
017800,현대엘리베이터,00164724,1
017810,풀무원,00155355,1
017860,DS단석,00108612,1
017890,한국알콜,00158565,1
017900,광전자,00152729,1
017940,E1,00165583,1
017960,한국카본,00159795,1
018000,유니슨,00144243,1
018120,진로발효,00170877,1
018250,애경산업,00139454,1
018260,삼성에스디에스,00126186,1
018290,브이티,00150165,1
018310,삼목에스폼,00125646,1
018470,조일알미늄,00149239,1
018500,동원금속,00118008,1
018620,우진비앤지,00103547,1
018670,SK가스,00144164,1
018680,서울제약,00131018,1
018700,바른손,00122205,1
018880,한온시스템,00161125,1
019010,베뉴지,00267906,1
019170,신풍제약,00137359,1
019180,티에이치엔,00118965,1
019210,와이지-원,00139719,1
019440,세아특수강,00133991,1
019490,엑시큐어하이트론,00156150,1
019540,일지테크,00146560,1
019550,SBI인베스트먼트,00156910,1
019570,플루토스,00110750,1
019590,에스유앤피,00136642,1
019660,글로본,00159731,1
019680,대교,00108913,1
019770,서연탑메탈,00153278,1
019990,에너토크,00169215,1
020000,한섬,00188089,1
020120,키다리스튜디오,00140131,1
020150,롯데에너지머티리얼즈,00113997,1
020180,대신정보통신,00110875,1
020400,대동금속,00191287,1
020560,아시아나항공,00138792,1
020710,시공테크,00170026,1
020760,일진디스플,00198697,1
021040,대호특수강,00166175,1
021050,서원,00131197,1
021080,에이티넘인베스트,00161462,1
021240,코웨이,00170558,1
021320,KCC건설,00105466,1
021650,한국큐빅,00160010,1
021820,세원정공,00134316,1
021880,메이슨캐피탈,00136101,1
022100,포스코DX,00155212,1
022220,TKG애강,00140061,1
023000,삼원강재,00191588,1
023150,MH에탄올,00121534,1
023160,태광,00153375,1
023350,한국종합기술,00159500,1
023410,유진기업,00184667,1
023440,제이스코홀딩스,00148531,1
023450,동남합성,00115065,1
023460,CNH,00149266,1
023530,롯데쇼핑,00120526,1
023590,다우기술,00176914,1
023600,삼보판지,00125938,1
023760,한국캐피탈,00149594,1
023770,플레이위드,00138367,1
023790,동일스틸럭스,00172945,1
023800,인지컨트롤스,00103510,1
023810,인팩,00180795,1
023900,풍국주정,00155452,1
023910,대한약품,00113128,1
023960,에쓰씨엔지니어링,00121969,1
024060,흥구석유,00167004,1
024070,WISCOM,00142865,1
024090,디씨엠,00177199,1
024110,기업은행,00149646,1
024120,KB오토시스,00157539,1
024720,콜마홀딩스,00203290,1
024740,한일단조,00162832,1
024800,유성티엔에스,00173999,1
024810,이화전기,00145738,1
024830,세원물산,00173591,1
024840,KBI메탈,00158024,1
024850,HLB이노베이션,00155586,1
024880,케이피에프,00157636,1
024890,대원화성,00112022,1
024900,디와이덕양,00114154,1
024910,경창산업,00102353,1
024940,PN풍년,00133557,1
024950,삼천리자전거,00128607,1
025000,KPX케미칼,00191472,1
025320,시노펙스,00203023,1
025440,DH오토웨어,00110583,1
025530,에스제이엠홀딩스,00181943,1
025540,한국단자공업,00157070,1
025550,한국선재,00158015,1
025560,미래산업,00197759,1
025620,제이준코스메틱,00136776,1
025750,한솔홈데코,00203582,1
025770,한국정보통신,00159342,1
025820,이구산업,00145464,1
025860,남해화학,00107987,1
025870,신라에스지,00136004,1
025880,케이씨피드,00101752,1
025890,한국주강,00159564,1
025900,동화기업,00173032,1
025950,동신건설,00116408,1
025980,아난티,00161781,1
026040,제이에스티나,00120289,1
026150,특수건설,00186939,1
026890,스틱인베스트먼트,00117498,1
026910,광진실업,00104120,1
026940,부국철강,00123781,1
026960,동서,00144395,1
027040,서울전자통신,00130587,1
027050,코리아나,00152589,1
027360,아주IB투자,00156895,1
027410,BGF,00219097,1
027580,상보,00129615,1
027710,팜스토리,00192499,1
027740,마니커,00204208,1
027830,대성창투,00109037,1
027970,한국제지,00133706,1
028050,삼성E&A,00126308,1
028080,휴맥스홀딩스,00219440,1
028100,동아지질,00178754,1
028260,삼성물산,00149655,1
028300,HLB,00199252,1
028670,팬오션,00122737,1
029460,케이씨,00209780,1
029480,광무,00186452,1
