ticker,corp_name,delisting_date,delisting_reason,corp_code,listed_company
019430,넥서스투자,20110429,감사의견거절(감사범위제한),00267809,0
016160,오라바이오틱스,20110426,공시서류 미제출(사업보고서) 후 10일이내 미제출,00109648,0
037020,한와이어리스,20110423,사업보고서 법정제출기한 익일부터 10일이내 미제출,00178471,0
032290,알티전자,20110423,사업보고서 법정제출기한 익일부터 10일 이내 미제출,00183215,0
049690,포휴먼,20110423,사업보고서 법정제출기한 익일부터 10일이내 미제출,00331733,0
060750,제이콤,20110416,최종부도 발생,00316488,0
013240,셀런,20110415,자본전액잠식,00134051,0
005350,봉신,20110415,자본전액잠식,00123648,0
031990,대선조선,20110413,자본전액잠식 등,00110307,0
043680,스톰이앤에프,20110413,자본전액잠식 등,00264796,0
048640,엠엔에프씨,20110413,자본전액잠식 등,00236368,0
030030,중앙디자인,20110413,자본전액잠식,00200761,0
019120,경윤하이드로,20110406,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,00173324,0
032380,핸디소프트,20110303,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,00231521,0
046240,에스브이에이치,20110212,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정,00268358,0
084450,세실,20110210,감사의견거절(범위제한 및 계속기업 존속 불확실성),00446831,0
088020,네이쳐글로벌,20110108,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00540304,0
082110,동북아8호,20110104,종목별 상장폐지신청,00510215,0
052210,엠씨티티코어,20101204,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00262275,0
047450,이앤텍,20101130,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00215107,0
048140,태광이엔시,20101125,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00320807,0
048510,테스텍,20101110,최근 사업연도말 기준으로 자본잠식률 100분의 50 이상 및 자기자본 10억원 미만의 사유로 관리종목으로 지정된 후 최근 반기말 외부감사인의 감사보고서상 계속기업 존속능력에 대한 불확실성으로 인한 의견거절 발생,00331760,0
070080,하이드로젠파워,20101106,최종부도,00430089,0
052970,올리브나인,20101020,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00362089,0
